component_type,component_name,component_link,Capacity,Form_Factor,Inferred_Tested_and_run_inhouse_at_PCP,Interface,Manufacturer,NVME,Part_#_#,Price_GB,Type
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
,MSI SPATIUM M450 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/XzgFf7/msi-spatium-m450-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sm450n1tb,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,MSI,Yes,SM450N1TB,,SSD
,Western Digital Blue SN570 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/3dvdnQ/western-digital-blue-sn570-1-tb-m2-2280-nvme-solid-state-drive-wds100t3b0c,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Western Digital,Yes,WDS100T3B0C,$0.14 ,SSD
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
,Inland Premium 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/4XjJ7P/inland-professional-1-tb-m2-2280-solid-state-drive-1tb-nvme-premiu,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Inland,Yes,1TB NVME PREMIU,,SSD
,MSI SPATIUM M482 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/T6bRsY/msi-spatium-m482-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-spatium-m482-pcie-40-nvme-m2-2tb,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,MSI,Yes,SPATIUM-M482-PCIe-4.0-NVMe-M.2-2TB; SM482N2TB; S78-440Q730-P83,$0.07 ,SSD
,Kingston NV2 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/3QXJ7P/kingston-nv2-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s2000g,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SNV2S/2000G,$0.06 ,SSD
,Netac NV7000-t 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/mL7scf/netac-nv7000-t-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-nt01nv7000t-2t0-e4x,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Netac,Yes,NT01NV7000t-2T0-E4X,$0.08 ,SSD
,Inland Performance Plus 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/cqZ9TW/inland-performance-plus-2-tb-m2-2280-nvme-solid-state-drive-329466,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Inland,Yes,329466,$0.07 ,SSD
,Patriot P300 512 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/2T848d/patriot-p300-512-gb-m2-2280-nvme-solid-state-drive-p300p512gm28,512 GB,M.2-2280,,M.2 PCIe 3.0 X4,Patriot,Yes,P300P512GM28,$0.06 ,SSD
,"Samsung 850 Evo 250 GB 2.5"" SSD",https://pcpartpicker.com/product/3kL7YJ/samsung-internal-hard-drive-mz75e250bam,250 GB,"2.5""",,SATA 6.0 Gb/s,Samsung,No,MZ-75E250B/AM; MZ-75E250B/EU; MZ-75E250BW/EU; MZ-75E250BW,,SSD
,"Crucial MX300 275 GB 2.5"" SSD",https://pcpartpicker.com/product/rrvZxr/crucial-mx300-275gb-25-solid-state-drive-ct275mx300ssd1,275 GB,"2.5""",,SATA 6.0 Gb/s,Crucial,No,CT275MX300SSD1,$0.58 ,SSD
,Intel 660p 2.048 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/7MQG3C/intel-660p-series-2tb-m2-2280-solid-state-drive-ssdpeknw020t8x1,2.048 TB,M.2-2280,,M.2 PCIe 3.0 X4,Intel,Yes,SSDPEKNW020T8X1,$0.10 ,SSD
,Lexar NQ790 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/4wHqqs/lexar-nq790-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnq790x002t-rnnnu,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Lexar,Yes,LNQ790X002T-RNNNU; LNQ790X002T-RNNNG,$0.08 ,SSD
,"Crucial MX300 525 GB 2.5"" SSD",https://pcpartpicker.com/product/2VWrxr/crucial-mx300-525gb-25-solid-state-drive-ct525mx300ssd1,525 GB,"2.5""",,SATA 6.0 Gb/s,Crucial,No,CT525MX300SSD1,$0.34 ,SSD
,Kingston Fury Renegade 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/3M2WGX/kingston-fury-renegade-4-tb-m2-2280-nvme-solid-state-drive-sfyrd4000g,4 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SFYRD/4000G,$0.08 ,SSD
,Crucial P3 Plus 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/yGZ9TW/crucial-p3-plus-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3pssd8,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Crucial,Yes,CT2000P3PSSD8,$0.06 ,SSD
,"Patriot Burst Elite 240 GB 2.5"" SSD",https://pcpartpicker.com/product/NshFf7/patriot-burst-elite-240-gb-25-solid-state-drive-pbe240gs25ssdr,240 GB,"2.5""",,SATA 6.0 Gb/s,Patriot,No,PBE240GS25SSDR,$0.07 ,SSD
,Western Digital WD_Black SN850X 8 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/mzJp99/western-digital-wd_black-sn850x-8-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds800t2x0e,8 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS800T2X0E; WDS800T2X0E-00CDD0; WDBB9G0080BNC-WRSN,$0.08 ,SSD
,Lexar NM610PRO 2 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/YC88TW/lexar-nm610pro-2-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-lnm610p002t-rnnng,2 TB,M.2-2280,,M.2 PCIe 3.0 X4,Lexar,Yes,LNM610P002T-RNNNG,,SSD
,Western Digital Blue SN570 500 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/9FH7YJ/western-digital-blue-sn570-500-gb-m2-2280-nvme-solid-state-drive-wds500g3b0c,500 GB,M.2-2280,,M.2 PCIe 3.0 X4,Western Digital,Yes,WDS500G3B0C,$0.15 ,SSD
,Crucial P5 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/yTTzK8/crucial-p5-1-tb-m2-2280-nvme-solid-state-drive-ct1000p5ssd8,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Crucial,Yes,CT1000P5SSD8,,SSD
,"Western Digital Blue 500 GB 2.5"" SSD",https://pcpartpicker.com/product/LRkj4D/western-digital-blue-500gb-25-solid-state-drive-wds500g2b0a,500 GB,"2.5""",,SATA 6.0 Gb/s,Western Digital,No,WDS500G2B0A,$0.14 ,SSD
,Western Digital Black SN770 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/4KRYcf/western-digital-2-tb-m2-2280-nvme-solid-state-drive-wds200t3x0e,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T3X0E; WDS200T3X0E-00B3N0,$0.06 ,SSD
,SK Hynix Platinum P41 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/yGTp99/sk-hynix-platinum-p41-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-shpp41-2000gm-2,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,SK Hynix,Yes,SHPP41-2000GM-2,$0.06 ,SSD
,"PNY CS900 500 GB 2.5"" SSD",https://pcpartpicker.com/product/XshmP6/pny-cs900-500-gb-25-solid-state-drive-ssd7cs900-500-rb,500 GB,"2.5""",,SATA 6.0 Gb/s,PNY,No,SSD7CS900-500-RB; SSD7CS900-500-BLK,$0.07 ,SSD
,Intel 660p 1.02 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/9nhKHx/intel-660p-series-1tb-m2-2280-solid-state-drive-ssdpeknw010t8x1,1.02 TB,M.2-2280,,M.2 PCIe 3.0 X4,Intel,Yes,SSDPEKNW010T8X1,$0.10 ,SSD
,"Western Digital Green 480 GB 2.5"" SSD",https://pcpartpicker.com/product/YC7G3C/western-digital-green-480-gb-25-solid-state-drive-wds480g3g0a,480 GB,"2.5""",,SATA 6.0 Gb/s,Western Digital,No,WDS480G3G0A,$0.08 ,SSD
,"Orico Y-20 512 GB 2.5"" SSD",https://pcpartpicker.com/product/DHBFf7/orico-y-20-512-gb-25-solid-state-drive-y20-512gb,512 GB,"2.5""",,SATA 6.0 Gb/s,Orico,No,Y20-512GB,$0.06 ,SSD
,Patriot Viper VP4300 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/xW3gXL/patriot-viper-vp4300-2-tb-m2-2280-nvme-solid-state-drive-vp4300-2tbm28h,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Patriot,Yes,VP4300-2TBM28H,$0.06 ,SSD
,KingSpec XG7000 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/Dgqrxr/kingspec-xg7000-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-xg-7000-2tb,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,KingSpec,Yes,XG 7000-2TB,$0.05 ,SSD
,Crucial P3 Plus 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/yGZ9TW/crucial-p3-plus-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3pssd8,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Crucial,Yes,CT2000P3PSSD8,$0.06 ,SSD
,Crucial P3 500 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/XKt9TW/crucial-p3-500-gb-m2-2280-nvme-solid-state-drive-ct500p3ssd8,500 GB,M.2-2280,,M.2 PCIe 3.0 X4,Crucial,Yes,CT500P3SSD8,$0.09 ,SSD
,Western Digital Black SN770 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/4KRYcf/western-digital-2-tb-m2-2280-nvme-solid-state-drive-wds200t3x0e,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T3X0E; WDS200T3X0E-00B3N0,$0.06 ,SSD
,Crucial P2 500 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/G9XYcf/crucial-p2-500-gb-m2-2280-nvme-solid-state-drive-ct500p2ssd8,500 GB,M.2-2280,,M.2 PCIe 3.0 X4,Crucial,Yes,CT500P2SSD8,,SSD
,Western Digital Black SN770 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/4KRYcf/western-digital-2-tb-m2-2280-nvme-solid-state-drive-wds200t3x0e,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T3X0E; WDS200T3X0E-00B3N0,$0.06 ,SSD
,TEAMGROUP MP34 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/Y6YLrH/teamgroup-mp34-1-tb-m2-2280-nvme-solid-state-drive-tm8fp4001t0c101,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,TEAMGROUP,Yes,TM8FP4001T0C101,,SSD
,Crucial P1 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/pxKcCJ/crucial-p1-1tb-m2-2280-solid-state-drive-ct1000p1ssd8,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Crucial,Yes,CT1000P1SSD8,$0.11 ,SSD
,Western Digital Blue SN580 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/266NnQ/western-digital-blue-sn580-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t3b0e,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T3B0E; WDS200T3B0E-00CHF0,$0.06 ,SSD
,Verbatim Vi5000 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/pJqrxr/verbatim-vi5000-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-31827,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Verbatim,Yes,31827,$0.06 ,SSD
,Kingston Fury Renegade 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/FyZ9TW/kingston-fury-renegade-2-tb-m2-2280-nvme-solid-state-drive-sfyrd2000g,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SFYRD/2000G,$0.08 ,SSD
,TEAMGROUP T-FORCE G50 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/hrLdnQ/teamgroup-t-force-g50-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffe002t0c129,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,TEAMGROUP,Yes,TM8FFE002T0C129,$0.05 ,SSD
,Silicon Power A60 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/7tCFf7/silicon-power-a60-1-tb-m2-2280-nvme-solid-state-drive-sp001tbp34a60m28,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Silicon Power,Yes,SP001TBP34A60M28,$0.05 ,SSD
,Samsung 990 EVO 1 TB M.2-2280 PCIe 5.0 X2 NVME SSD,https://pcpartpicker.com/product/xXGhP6/samsung-990-evo-1-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9e1t0bam,1 TB,M.2-2280,,M.2 PCIe 5.0 X2,Samsung,Yes,MZ-V9E1T0B/AM; MZ-V9E1T0B; MZ-V9E1T0BW,$0.07 ,SSD
,MSI SPATIUM M460 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/c4t9TW/msi-spatium-m460-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-spatium-m460-1tb,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,MSI,Yes,SPATIUM-M460-1TB; SPATIUM M460 PCIe 4.0 NVMe M.2 1TB; SM460N1TB; S78-440L930-P83,,SSD
,Seagate FireCuda 530 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/GRYmP6/seagate-firecuda-530-1-tb-m2-2280-nvme-solid-state-drive-zp1000gm3a013,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Seagate,Yes,ZP1000GM3A013; ZP1000GM30013,$0.09 ,SSD
,Crucial P3 Plus 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/yGZ9TW/crucial-p3-plus-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3pssd8,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Crucial,Yes,CT2000P3PSSD8,$0.06 ,SSD
,Western Digital Blue SN570 500 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/9FH7YJ/western-digital-blue-sn570-500-gb-m2-2280-nvme-solid-state-drive-wds500g3b0c,500 GB,M.2-2280,,M.2 PCIe 3.0 X4,Western Digital,Yes,WDS500G3B0C,$0.15 ,SSD
,Western Digital Black SN770 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/4KRYcf/western-digital-2-tb-m2-2280-nvme-solid-state-drive-wds200t3x0e,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Western Digital,Yes,WDS200T3X0E; WDS200T3X0E-00B3N0,$0.06 ,SSD
,Western Digital PC SN730 256 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/cmC48d/western-digital-pc-sn730-256-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-sdbpnty-256g,256 GB,M.2-2280,,M.2 PCIe 3.0 X4,Western Digital,Yes,SDBPNTY-256G,$0.27 ,SSD
,Corsair MP600 CORE XT 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/Tn7scf/corsair-mp600-core-xt-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f1000gbmp600cxt,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,Corsair,Yes,CSSD-F1000GBMP600CXT,$0.07 ,SSD
,ADATA XPG SX8200 Pro 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/zR3H99/adata-sx8200-1-tb-m2-2280-solid-state-drive-asx8200pnp-1tt-c,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,ADATA,Yes,ASX8200PNP-1TT-C,$0.06 ,SSD
,Crucial T700 W/Heatsink 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/72mNnQ/crucial-t700-wheatsink-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t700ssd5,2 TB,M.2-2280,,M.2 PCIe 5.0 X4,Crucial,Yes,CT2000T700SSD5,$0.13 ,SSD
,KIOXIA EXCERIA PLUS G3 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/VYqrxr/kioxia-exceria-plus-g3-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lsd10z002tg8,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,KIOXIA,Yes,LSD10Z002TG8,$0.07 ,SSD
,Kingston Fury Renegade 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/FyZ9TW/kingston-fury-renegade-2-tb-m2-2280-nvme-solid-state-drive-sfyrd2000g,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SFYRD/2000G,$0.08 ,SSD
,Samsung 990 EVO 2 TB M.2-2280 PCIe 5.0 X2 NVME SSD,https://pcpartpicker.com/product/kFrqqs/samsung-990-evo-2-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9e2t0bam,2 TB,M.2-2280,,M.2 PCIe 5.0 X2,Samsung,Yes,MZ-V9E2T0B/AM; MZ-V9E2T0B; MZ-V9E2T0BW,$0.07 ,SSD
,Crucial P3 Plus 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/yGZ9TW/crucial-p3-plus-2-tb-m2-2280-nvme-solid-state-drive-ct2000p3pssd8,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Crucial,Yes,CT2000P3PSSD8,$0.06 ,SSD
,"ADATA Ultimate SU650 120 GB 2.5"" SSD",https://pcpartpicker.com/product/F9m323/adata-ultimate-su650-120-gb-25-solid-state-drive-asu650ss-120gt-r,120 GB,"2.5""",,SATA 6.0 Gb/s,ADATA,No,ASU650SS-120GT-R,,SSD
,TEAMGROUP MP33 2 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/C3xbt6/team-mp33-2-tb-m2-2280-nvme-solid-state-drive-tm8fp6002t0c101,2 TB,M.2-2280,,M.2 PCIe 3.0 X4,TEAMGROUP,Yes,TM8FP6002T0C101,$0.05 ,SSD
,Kingston NV3 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/gdBzK8/kingston-nv3-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv3s2000g,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Kingston,Yes,SNV3S/2000G,$0.06 ,SSD
,PNY CS2140 500 GB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/k2ddnQ/pny-cs2140-500-gb-m2-2280-nvme-solid-state-drive-m280cs2140-500-rb,500 GB,M.2-2280,,M.2 PCIe 4.0 X4,PNY,Yes,M280CS2140-500-RB,$0.09 ,SSD
,Silicon Power P34A60 512 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/94gQzy/silicon-power-p34a60-512-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-sp512gbp34a60m28,512 GB,M.2-2280,,M.2 PCIe 3.0 X4,Silicon Power,Yes,SP512GBP34A60M28; SU512GBP34A60M28SN,$0.07 ,SSD
,ADATA XPG SX6000 512 GB M.2-2280 PCIe 3.0 X2 NVME SSD,https://pcpartpicker.com/product/bbjJ7P/adata-xpg-sx6000-512-gb-m2-2280-nvme-solid-state-drive-asx6000np-512gt-c,512 GB,M.2-2280,,M.2 PCIe 3.0 X2,ADATA,Yes,ASX6000NP-512GT-C,,SSD
,ADATA XPG GAMMIX S70 Blade 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/gvvdnQ/adata-xpg-gammix-s70-blade-1-tb-m2-2280-nvme-solid-state-drive-agammixs70b-1t-cs,1 TB,M.2-2280,,M.2 PCIe 4.0 X4,ADATA,Yes,AGAMMIXS70B-1T-CS,$0.08 ,SSD
,TEAMGROUP MP33 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/64MTwP/team-mp33-1-tb-m2-2280-nvme-solid-state-drive-tm8fp6001t0c101,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,TEAMGROUP,Yes,TM8FP6001T0C101,$0.06 ,SSD
,Corsair MP600 PRO LPX 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/gTRYcf/corsair-mp600-pro-lpx-2-tb-m2-2280-nvme-solid-state-drive-cssd-f2000gbmp600plp,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Corsair,Yes,CSSD-F2000GBMP600PLP,$0.09 ,SSD
,Klevv CRAS C910 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/Q7kH99/klevv-cras-c910-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-k02tbm2sp0-c91,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,Klevv,Yes,K02TBM2SP0-C91,$0.05 ,SSD
,Silicon Power P34A60 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/drwypg/silicon-power-p34a60-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-su001tbp34a60m28ca,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Silicon Power,Yes,SU001TBP34A60M28CA,$0.05 ,SSD
,TEAMGROUP MP33 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/64MTwP/team-mp33-1-tb-m2-2280-nvme-solid-state-drive-tm8fp6001t0c101,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,TEAMGROUP,Yes,TM8FP6001T0C101,$0.06 ,SSD
,Crucial T700 4 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/xhkH99/crucial-t700-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct4000t700ssd3,4 TB,M.2-2280,,M.2 PCIe 5.0 X4,Crucial,Yes,CT4000T700SSD3,$0.10 ,SSD
,Sabrent Rocket Q 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/HmmFf7/sabrent-rocket-q-1-tb-m2-2280-nvme-solid-state-drive-sb-rktq-1tb,1 TB,M.2-2280,,M.2 PCIe 3.0 X4,Sabrent,Yes,SB-RKTQ-1TB,$0.13 ,SSD
,HP EX900 500 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/7stQzy/hp-ex900-500mb-m2-2280-solid-state-drive-2yy44aaabc,500 GB,M.2-2280,,M.2 PCIe 3.0 X4,HP,Yes,2YY44AA#ABC,,SSD
,"Kingston A400 240 GB 2.5"" SSD",https://pcpartpicker.com/product/btDzK8/kingston-a400-240gb-25-solid-state-drive-sa400s37240g,240 GB,"2.5""",,SATA 6.0 Gb/s,Kingston,No,SA400S37/240G,$0.12 ,SSD
,Crucial T705 W/Heatsink 2 TB M.2-2280 PCIe 5.0 X4 NVME SSD,https://pcpartpicker.com/product/zzdG3C/crucial-t705-wheatsink-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000t705ssd5,2 TB,M.2-2280,,M.2 PCIe 5.0 X4,Crucial,Yes,CT2000T705SSD5,$0.13 ,SSD
,Crucial P3 Plus 500 GB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/vPpzK8/crucial-p3-plus-500-gb-m2-2280-nvme-solid-state-drive-ct500p3pssd8,500 GB,M.2-2280,,M.2 PCIe 4.0 X4,Crucial,Yes,CT500P3PSSD8,$0.08 ,SSD
,TEAMGROUP T-FORCE G70 PRO Graphene 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,https://pcpartpicker.com/product/KLYRsY/teamgroup-t-force-g70-pro-graphene-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffh002t0c129,2 TB,M.2-2280,,M.2 PCIe 4.0 X4,TEAMGROUP,Yes,TM8FFH002T0C129,$0.06 ,SSD
,Silicon Power P34A60 256 GB M.2-2280 PCIe 3.0 X4 NVME SSD,https://pcpartpicker.com/product/RrGnTW/silicon-power-p34a60-256-gb-m2-2280-nvme-solid-state-drive-sp256gbp34a60m28,256 GB,M.2-2280,,M.2 PCIe 3.0 X4,Silicon Power,Yes,SP256GBP34A60M28,$0.11 ,SSD
,"Crucial BX300 120 GB 2.5"" SSD",https://pcpartpicker.com/product/vxX2FT/crucial-bx300-120gb-25-solid-state-drive-ct120bx300ssd1,120 GB,"2.5""",,SATA 6.0 Gb/s,Crucial,No,CT120BX300SSD1,,SSD
