Build Title,CPU_component_name,CPU_Core_Count,CPU_Performance_Core_Clock,CPU_Socket,CPU Cooler_component_name,CPU Cooler_Water_Cooled,CPU Cooler_Radiator_Size_mm,CPU Cooler_Noise_Level,Case_component_name,Case_Type,Case_Height_mm,Case_Width_mm,Case_Depth_mm,Case_ATX,Case_Mini ITX,Memory_component_name,Memory_Speed,Memory_Form_Factor,Memory_Modules,Motherboard_component_name,Motherboard_Chipset,Motherboard_Form_Factor,Motherboard_Memory_Speed,Power Supply_component_name,Power Supply_Wattage,Power Supply_Efficiency_Rating,Power Supply_Modular,Storage_component_name,Storage_Capacity,Storage_Form_Factor,Storage_NVME,Video Card_component_name,Video Card_Chipset,Video Card_Memory,Video Card_TDP
First Build,AMD Ryzen 5 7600X 4.7 GHz 6-Core,6,4700,AM5,Cooler Master Hyper 212 (2023) 70.7 CFM,False,0.0,32.8,Phanteks XT PRO ATX Mid Tower,ATX Mid Tower,450.0,230.0,500.0,1,1,TEAMGROUP T-Force Vulcan 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI MAG B650 TOMAHAWK WIFI ATX AM5,AMD B650,ATX,7600,MSI MAG A650GL 650 W 80+ Gold Certified Fully Modular ATX,650,80+ Gold,Fully Modular,"TEAMGROUP GX2 1 TB 2.5"" SSD",1000,"2.5""",False,Unknown,Radeon RX 7600 XT,16,190
First Build (2018 edition),Intel Core i7-8700K 3.7 GHz 6-Core,6,3700,LGA1151,Unknown,Unknown,Unknown,Unknown,Phanteks Eclipse P400S ATX Mid Tower,ATX Mid Tower,470.0,210.0,465.0,1,1,G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3000 CL15,3000,DDR4,2 x 8GB,Gigabyte Z370 AORUS Gaming 7 (rev. 1.0) ATX LGA1151,Intel Z370,ATX,4133,Unknown,Unknown,Unknown,Unknown,Crucial MX500 1 TB M.2-2280 SATA SSD,1000,M.2-2280,False,Unknown,GeForce GTX 1080 Ti,11,250
"First Build - 13700kf, rx 7700xt",Intel Core i7-13700KF 3.4 GHz 16-Core,16,3400,LGA1700,Thermalright Aqua Elite V3 66.17 CFM Liquid,True,360.0,25.6,Phanteks NV5 ATX Mid Tower,ATX Mid Tower,477.0,239.0,528.0,1,1,G.Skill Trident Z5 RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,6000,DDR5,2 x 16GB,ASRock Z790 Riptide WiFi ATX LGA1700,Intel Z790,ATX,8400,Unknown,Unknown,Unknown,Unknown,Kingston KC3000 1.024 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1024,M.2-2280,True,Unknown,Radeon RX 7700 XT,12,245
First Build - 9800x3d - RTX 5090,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Unknown,Unknown,Unknown,Unknown,Corsair 5000D AIRFLOW ATX Mid Tower,ATX Mid Tower,520.0,245.0,520.0,1,1,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock Phantom Gaming X870E Nova WiFi ATX AM5,AMD X870E,ATX,8200,Unknown,Unknown,Unknown,Unknown,Samsung 990 Pro 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,4000,M.2-2280,True,Unknown,GeForce RTX 5090,32,575
First Build - Fortnite Theme,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Unknown,Unknown,Unknown,Unknown,HYTE Y70 Touch Infinite ATX Mid Tower,ATX Mid Tower,470.0,320.0,470.0,1,1,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6400 CL32,6400,DDR5,2 x 16GB,Asus ROG STRIX X870-F GAMING WIFI ATX AM5,AMD X870,ATX,8000,MSI MAG A1000GL PCIE5 1000 W 80+ Gold Certified Fully Modular ATX,1000,80+ Gold,Fully Modular,Samsung 990 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 5080,16,360
First Build - Ice V1,Intel Core i5-13600K 3.5 GHz 14-Core,14,3500,LGA1700,Unknown,Unknown,Unknown,Unknown,NZXT H7 Flow RGB (2023) ATX Mid Tower,ATX Mid Tower,480.0,230.0,505.0,1,1,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,6000,DDR5,2 x 16GB,MSI PRO Z790-A MAX WIFI ATX LGA1700,Intel Z790,ATX,7800,Unknown,0,Unknown,Unknown,Samsung 980 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4070,12,200
First Build - Upgrade,AMD Ryzen 9 7900X 4.7 GHz 12-Core,12,4700,AM5,Unknown,Unknown,Unknown,Unknown,NZXT H6 Flow ATX Mid Tower,ATX Mid Tower,415.0,287.0,435.0,1,1,TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI MAG B650 TOMAHAWK WIFI ATX AM5,AMD B650,ATX,7600,Unknown,Unknown,Unknown,Unknown,"Kingston A400 480 GB 2.5"" SSD",480,"2.5""",False,XFX Speedster SWFT 309 Radeon RX 6700 XT 12 GB,Radeon RX 6700 XT,12,230
First Build - White Prodigy m2022 (for sale),AMD Ryzen 5 5600 3.5 GHz 6-Core,6,3500,AM4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TEAMGROUP T-Create Expert 16 GB (2 x 8 GB) DDR4-3600 CL18,3600,DDR4,2 x 8GB,Gigabyte B450M DS3H WIFI Micro ATX AM4,AMD B450,Micro ATX,2933,Apevia Prestige 600 W 80+ Gold Certified ATX,600,80+ Gold,Non Modular,Inland Prime 500 GB M.2-2280 PCIe 3.0 X4 NVME SSD,500,M.2-2280,True,Unknown,Radeon RX 7600 XT,16,190
First Build -9070xt,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Thermalright Aqua Elite V3 66.17 CFM Liquid,True,360.0,25.6,Thermaltake View 270 Plus TG ARGB ATX Mid Tower,ATX Mid Tower,456.0,230.0,454.0,1,1,Patriot Venom RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,6000,DDR5,2 x 32GB,Gigabyte B850 AORUS ELITE WIFI7 ATX AM5,AMD B850,ATX,8200,Unknown,Unknown,Unknown,Unknown,Silicon Power US75 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,4000,M.2-2280,True,Unknown,Radeon RX 9070 XT,16,304
First Build 7/24,AMD Ryzen 5 7600X 4.7 GHz 6-Core,6,4700,AM5,Unknown,Unknown,Unknown,Unknown,Corsair 4000D Airflow ATX Mid Tower,ATX Mid Tower,453.0,230.0,466.0,1,1,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI PRO B650M-A WIFI Micro ATX AM5,AMD B650,Micro ATX,6400,Unknown,0,Unknown,Unknown,Samsung 980 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4070 SUPER,12,220
First Build Corsair,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Unknown,Unknown,Unknown,Unknown,Corsair 6500X ATX Mid Tower,ATX Mid Tower,481.0,328.0,496.0,1,1,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,AMD X670E,ATX,6400,Unknown,0,Unknown,Unknown,Crucial P5 Plus 500 GB M.2-2280 PCIe 4.0 X4 NVME SSD,500,M.2-2280,True,Unknown,GeForce RTX 4080 SUPER,16,320
First Build I've done in nearly 20 years. (No RGB),Intel Core i5-14400F 2.5 GHz 10-Core,10,2500,LGA1700,Unknown,Unknown,Unknown,Unknown,Lian Li LANCOOL 216 RGB ATX Mid Tower,ATX Mid Tower,480.9,235.0,491.7,1,1,G.Skill Ripjaws S5 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI B760 GAMING PLUS WIFI ATX LGA1700,Intel B760,ATX,6800,Unknown,Unknown,Unknown,Unknown,Kingston Fury Renegade with Heat Sink 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 5070 Ti,16,300
First Build White/Black 1440p Gaming + Productivity,AMD Ryzen 7 9700X 3.8 GHz 8-Core,8,3800,AM5,Unknown,Unknown,Unknown,Unknown,Phanteks XT PRO ULTRA ATX Mid Tower,ATX Mid Tower,450.0,230.0,500.0,1,1,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock B850 Steel Legend WiFi ATX AM5,AMD B850,ATX,8000,Unknown,Unknown,Unknown,Unknown,Samsung 990 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,Radeon RX 9070 XT,16,304
First Build in 2018 & The Progression Until Now,AMD Ryzen 7 2700X 3.7 GHz 8-Core,8,3700,AM4,AMD Wraith Prism 2800 CFM,False,0.0,42.0,Fractal Design Meshify C ATX Mid Tower,ATX Mid Tower,413.0,217.0,453.0,1,1,Patriot Viper 4 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,ASRock X470 Taichi ATX AM4,AMD X470,ATX,3466,Unknown,Unknown,Unknown,Unknown,"Samsung 860 Evo 1 TB 2.5"" SSD",1000,"2.5""",False,Unknown,GeForce RTX 2070,8,185
First Build rtx 4060 working on 3D and casual gaming on a budget,Intel Core i5-12600KF 3.7 GHz 10-Core,10,3700,LGA1700,Thermalright Aqua Elite V3 66.17 CFM Liquid,True,240.0,25.6,Corsair 4000D Airflow ATX Mid Tower,ATX Mid Tower,453.0,230.0,466.0,1,1,ADATA XPG Lancer Blade RGB 16 GB (1 x 16 GB) DDR5-6000 CL30,6000,DDR5,1 x 16GB,MSI MAG B760M MORTAR WIFI II Micro ATX LGA1700,Intel B760,Micro ATX,7800,Thermalright TG 750 W 80+ Gold Certified Fully Modular ATX,750,80+ Gold,Fully Modular,Kingston NV2 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4060,8,115
First Build. Mid Range PC,AMD Ryzen 5 7600X3D 4.1 GHz 6-Core,6,4100,AM5,Unknown,Unknown,Unknown,Unknown,Montech AIR 903 MAX ATX Mid Tower,ATX Mid Tower,478.0,230.0,493.0,1,1,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL32,6000,DDR5,2 x 16GB,Asus TUF GAMING B650-PLUS WIFI ATX AM5,AMD B650,ATX,6400,Segotep GM 750 W 80+ Gold Certified Fully Modular ATX,750,80+ Gold,Fully Modular,TEAMGROUP MP33 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 7700 XT,12,240
First Ever Build,AMD Ryzen 7 7700X 4.5 GHz 8-Core,8,4500,AM5,Unknown,Unknown,Unknown,Unknown,Thermaltake View 270 Plus TG ARGB ATX Mid Tower,ATX Mid Tower,456.0,230.0,454.0,1,1,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL36,6000,DDR5,2 x 16GB,Gigabyte B650M GAMING PLUS WIFI Micro ATX AM5,AMD B650,Micro ATX,7600,ADATA XPG Core Reactor II 750 W 80+ Gold Certified Fully Modular ATX,750,80+ Gold,Fully Modular,Silicon Power UD90 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 7800 XT,16,263
First Ever Build 2017,Intel Core i5-7500 3.4 GHz Quad-Core,4,3400,LGA1151,CRYORIG C7 40.5 CFM,False,0.0,30.0,Deepcool Dukase ATX Mid Tower,ATX Mid Tower,0.0,0.0,0.0,1,1,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-2133 CL13,2133,DDR4,2 x 8GB,MSI Z270 SLI PLUS ATX LGA1151,Intel Z270,ATX,3800,Unknown,Unknown,Unknown,Unknown,"ADATA SU800 128 GB 2.5"" SSD",128,"2.5""",False,Unknown,GeForce GTX 1060 3GB,3,120
First Ever Build – The Matching Trio (2012/2013),Intel Core i5-3450 3.1 GHz Quad-Core,4,3100,LGA1155,Unknown,Unknown,Unknown,Unknown,SHARKOON T28 ATX Mid Tower,ATX Mid Tower,0.0,0.0,0.0,1,1,"Patriot Intel Extreme Master, Limited Ed 16 GB (2 x 8 GB) DDR3-1600 CL9",1600,240-pin DIMM (DDR3),2 x 8GB,MSI Z77A-G41 ATX LGA1155,Intel Z77,ATX,0,Unknown,Unknown,Unknown,Unknown,"Samsung 840 Pro 128 GB 2.5"" SSD",128,"2.5""",False,Unknown,Radeon HD 7950,3,200
First Ever PC Build,AMD Ryzen 5 5600 3.5 GHz 6-Core,6,3500,AM4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3600 CL18,3600,DDR4,2 x 8GB,MSI MAG B550 TOMAHAWK MAX WIFI ATX AM4,AMD B550,ATX,5100,Unknown,Unknown,Unknown,Unknown,Samsung 970 Evo Plus 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 3060 Ti,8,225
First Full (actually any AMD part) AMD build!,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Unknown,Unknown,Unknown,Unknown,Lian Li LANCOOL 216 RGB ATX Mid Tower,ATX Mid Tower,480.9,235.0,491.7,1,1,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI MAG B850 TOMAHAWK MAX WIFI ATX AM5,AMD B850,ATX,8400,Unknown,Unknown,Unknown,Unknown,Western Digital Blue SN570 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 9070 XT,16,304
First Full Build,AMD Ryzen 9 5900X 3.7 GHz 12-Core,12,3700,AM4,Unknown,Unknown,Unknown,Unknown,Montech AIR 100 ARGB MicroATX Mid Tower,MicroATX Mid Tower,405.0,210.0,425.0,0,1,Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18,3600,DDR4,2 x 16GB,Asus TUF GAMING A520M-PLUS II Micro ATX AM4,AMD A520,Micro ATX,4866,Unknown,Unknown,Unknown,Unknown,Kingston NV2 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 3060 12GB,12,170
First Gaming PC,AMD Ryzen 5 1600X 3.6 GHz 6-Core,6,3600,AM4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,G.Skill Aegis 32 GB (4 x 8 GB) DDR4-3200 CL16,3200,DDR4,4 x 8GB,Asus PRIME X370-PRO ATX AM4,AMD X370,ATX,3200,Thermaltake TR2 S 700 W 80+ Certified ATX,700,80+,Non Modular,Samsung PM961 256 GB M.2-2280 PCIe 3.0 X4 NVME SSD,256,M.2-2280,True,Unknown,GeForce RTX 2070,8,185
First Gaming PC Build!,AMD Ryzen 7 9700X 3.8 GHz 8-Core,8,3800,AM5,Unknown,Unknown,Unknown,Unknown,Fractal Design Meshify C ATX Mid Tower,ATX Mid Tower,413.0,217.0,453.0,1,1,Crucial Pro 32 GB (2 x 16 GB) DDR5-6400 CL38,6400,DDR5,2 x 16GB,MSI PRO B650-S WIFI ATX AM5,AMD B650,ATX,6000,Unknown,Unknown,Unknown,Unknown,SanDisk Extreme 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4070,12,200
First Gaming PC build,Intel Core i5-12400F 2.5 GHz 6-Core,6,2500,LGA1700,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,Gigabyte B760M DS3H DDR4 Micro ATX LGA1700,Intel B760,Micro ATX,5333,SeaSonic G12 GC 650 W 80+ Gold Certified ATX,650,80+ Gold,Non Modular,Western Digital Black SN770 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 6650 XT,8,180
First Gaming Rig,AMD Ryzen 9 7900X3D 4.4 GHz 12-Core,12,4400,AM5,Unknown,Unknown,Unknown,Unknown,NZXT H5 Flow RGB (2024) ATX Mid Tower,ATX Mid Tower,430.0,225.0,465.0,1,1,TEAMGROUP T-Force Delta RGB 64 GB (2 x 32 GB) DDR5-6000 CL38,6000,DDR5,2 x 32GB,Gigabyte X870E AORUS PRO ICE ATX AM5,AMD X870E,ATX,8000,Asus ROG LOKI 750 W 80+ Platinum Certified Fully Modular SFX,750,80+ Platinum,Fully Modular,Samsung 990 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4070 Ti SUPER,16,285
First Gaming Setup,AMD Ryzen 5 5500 3.6 GHz 6-Core,6,3600,AM4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,Asus PRIME B550M-A WIFI II Micro ATX AM4,AMD B550,Micro ATX,4866,MSI MAG A650BN 650 W 80+ Bronze Certified ATX,650,80+ Bronze,Non Modular,Kingston NV2 500 GB M.2-2280 PCIe 4.0 X4 NVME SSD,500,M.2-2280,True,PowerColor Fighter Radeon RX 6600 8 GB,Radeon RX 6600,8,132
First ITX Build – Lessons in Thermals & Clearance (2016),Intel Core i7-6700K 4 GHz Quad-Core,4,4000,LGA1151,Noctua NH-L9x65 33.84 CFM,False,0.0,19.200000000000003,Silverstone RVZ01B Mini ITX Desktop,Mini ITX Desktop,0.0,0.0,0.0,0,1,"Patriot Intel Extreme Master, Limited Ed 16 GB (2 x 8 GB) DDR3-1600 CL9",1600,240-pin DIMM (DDR3),2 x 8GB,ASRock H110M-ITX Mini ITX LGA1151,Intel H110,Mini ITX,2133,Unknown,Unknown,Unknown,Unknown,"SanDisk SSD PLUS 240 GB 2.5"" SSD",240,"2.5""",False,Unknown,GeForce GTX 980 Ti,6,250
First PC,Intel Core i5-6600 3.3 GHz Quad-Core,4,3300,LGA1151,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Silicon Power Value Gaming 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Asus H110M-C/CSM Micro ATX LGA1151,Intel H110,Micro ATX,2133,Unknown,Unknown,Unknown,Unknown,"TEAMGROUP T-Force Vulcan Z 512 GB 2.5"" SSD",512,"2.5""",False,MSI VENTUS XS OC GeForce GTX 1660 6 GB,GeForce GTX 1660,6,130
First PC - 1440p Ultra Gaming Build,AMD Ryzen 5 9600X 3.9 GHz 6-Core,6,3900,AM5,ID-COOLING FROZN A620 PRO SE 58 CFM,False,0.0,27.2,Montech XR ATX Mid Tower,ATX Mid Tower,435.0,230.0,450.0,1,1,Silicon Power Value Gaming 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Asus PRIME B650-PLUS WIFI ATX AM5,AMD B650,ATX,7600,ADATA XPG Core Reactor II 750 W 80+ Gold Certified Fully Modular ATX,750,80+ Gold,Fully Modular,Silicon Power UD90 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,Radeon RX 7800 XT,16,263
First PC Build,AMD Ryzen 5 7600X 4.7 GHz 6-Core,6,4700,AM5,Unknown,Unknown,Unknown,Unknown,Thermaltake View 170 ARGB MicroATX Mini Tower,MicroATX Mini Tower,377.0,212.0,438.0,0,1,Patriot Viper Venom 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Gigabyte B650M GAMING PLUS WIFI Micro ATX AM5,AMD B650,Micro ATX,7600,ADATA XPG Core Reactor II 650 W 80+ Gold Certified Fully Modular ATX,650,80+ Gold,Fully Modular,TEAMGROUP T-FORCE G50 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4070 SUPER,12,220
First PC Build - December 2024,AMD Ryzen 5 7600X3D 4.1 GHz 6-Core,6,4100,AM5,be quiet! Dark Rock Elite,False,0.0,18.4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Crucial Pro 32 GB (2 x 16 GB) DDR5-5600 CL46,5600,DDR5,2 x 16GB,Gigabyte B650 EAGLE AX ATX AM5,AMD B650,ATX,7600,Unknown,Unknown,Unknown,Unknown,Samsung 980 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4080 SUPER,16,320
First PC Build for 900$,AMD Ryzen 5 5600X 3.7 GHz 6-Core,6,3700,AM4,Thermalright Aqua Elite V3 66.17 CFM Liquid,True,360.0,25.6,Antec C5 ARGB ATX Mid Tower,ATX Mid Tower,0.0,0.0,0.0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Klevv CRAS C910 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Unknown,Unknown,Unknown
First PC Build | Budget AM5 Build,AMD Ryzen 5 7600X 4.7 GHz 6-Core,6,4700,AM5,Unknown,Unknown,Unknown,Unknown,Deepcool CH370 MicroATX Mid Tower,MicroATX Mid Tower,413.0,215.0,431.0,0,1,Crucial Pro Overclocking 32 GB (2 x 16 GB) DDR5-6000 CL36,6000,DDR5,2 x 16GB,ASRock B650M-HDV/M.2 Micro ATX AM5,AMD B650,Micro ATX,6400,MSI MAG A650BN 650 W 80+ Bronze Certified ATX,650,80+ Bronze,Non Modular,Crucial P3 Plus 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 6600 XT,8,160
First PC Build! Lian-Li A3-mATX,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Thermalright Frozen Warframe PRO ARGB 70.84 CFM Liquid,True,360.0,29.8,Lian Li A3-mATX MicroATX Mini Tower,MicroATX Mini Tower,443.0,194.0,306.0,0,1,G.Skill Ripjaws M5 Neo RGB 64 GB (2 x 32 GB) DDR5-6000 CL36,6000,DDR5,2 x 32GB,Gigabyte B850M AORUS ELITE WIFI6E ICE Micro ATX AM5,AMD B850,Micro ATX,8200,Unknown,0,Unknown,Unknown,ADATA XPG GAMMIX S70 Blade 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4070 Ti,12,285
First PC Build!! (invested in the long run),AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Deepcool LS720 SE WH 85.85 CFM Liquid,True,360.0,30.549999999999997,Montech KING 95 PRO ATX Mid Tower,ATX Mid Tower,475.0,300.0,442.0,1,1,Silicon Power XPOWER Zenith RGB Gaming 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock B650 Steel Legend WiFi ATX AM5,AMD B650,ATX,7200,Unknown,Unknown,Unknown,Unknown,Samsung 990 EVO 2 TB M.2-2280 PCIe 5.0 X2 NVME SSD,2000,M.2-2280,True,Unknown,Radeon RX 7900 XTX,24,370
First PC Flip RTX 4060 + Intel 12400f,Intel Core i5-12400F 2.5 GHz 6-Core,6,2500,LGA1700,Unknown,Unknown,Unknown,Unknown,Montech XR ATX Mid Tower,ATX Mid Tower,435.0,230.0,450.0,1,1,Kingston FURY Beast 16 GB (2 x 8 GB) DDR5-5200 CL40,5200,DDR5,2 x 8GB,MSI B760 GAMING PLUS WIFI ATX LGA1700,Intel B760,ATX,6800,Unknown,Unknown,Unknown,Unknown,Kingston NV2 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4060,8,115
First PC build,AMD Ryzen 5 5600X 3.7 GHz 6-Core,6,3700,AM4,Unknown,Unknown,Unknown,Unknown,be quiet! Pure Base 500DX ATX Mid Tower,ATX Mid Tower,450.0,232.0,463.0,1,1,OLOy MD4U0836180BHKDA 16 GB (2 x 8 GB) DDR4-3600 CL18,3600,DDR4,2 x 8GB,Asus TUF GAMING X570-PRO (WI-FI) ATX AM4,AMD X570,ATX,5100,Unknown,Unknown,Unknown,Unknown,Samsung 970 Evo Plus 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,MSI GAMING X TRIO GeForce RTX 3070 Ti 8 GB,GeForce RTX 3070 Ti,8,310
First PC build (P2P),AMD Ryzen 5 7500F 3.7 GHz 6-Core OEM/Tray,6,3700,AM5,Unknown,Unknown,Unknown,Unknown,Montech AIR 903 BASE ATX Mid Tower,ATX Mid Tower,478.0,230.0,493.0,1,1,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock B650 PG LIGHTNING ATX AM5,AMD B650,ATX,7200,Unknown,Unknown,Unknown,Unknown,Kingston Fury Renegade 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 7800 XT,16,263
First PC build (budget),Intel Core i3-12100F 3.3 GHz Quad-Core,4,3300,LGA1700,ID-COOLING SE-214-XT ARGB 68.2 CFM,False,0.0,22.15,Rosewill PRISM S500 ATX Mid Tower,ATX Mid Tower,0.0,0.0,0.0,1,1,TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,MSI PRO H610M-G DDR4 Micro ATX LGA1700,Intel H610,Micro ATX,3200,Unknown,Unknown,Unknown,Unknown,TEAMGROUP MP33 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,ASRock Challenger D Radeon RX 6600 8 GB,Radeon RX 6600,8,132
First PC build / R7 7700 / RX 9070XT Nitro+,AMD Ryzen 7 7700 3.6 GHz 8-Core,8,3600,AM5,Unknown,Unknown,Unknown,Unknown,Deepcool CH370 MicroATX Mid Tower,MicroATX Mid Tower,413.0,215.0,431.0,0,1,ADATA XPG Lancer Blade RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock B850M-X WiFi Micro ATX AM5,AMD B850,Micro ATX,8200,Thermaltake Toughpower GT 850 W 80+ Gold Certified Fully Modular ATX,850,80+ Gold,Fully Modular,ADATA LEGEND 860 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 9070 XT,16,330
First PC build and it had to be small.,AMD Ryzen 5 5600 3.5 GHz 6-Core,6,3500,AM4,Unknown,Unknown,Unknown,Unknown,Cooler Master MasterBox NR200P Mini ITX Desktop,Mini ITX Desktop,376.0,185.0,292.0,0,1,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3600 CL18,3600,DDR4,2 x 8GB,Gigabyte B550I AORUS PRO AX Mini ITX AM4,AMD B550,Mini ITX,5000,Unknown,0,Unknown,Unknown,PNY CS1031 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,Asus TUF-RX6800XT-O16G-GAMING Radeon RX 6800 XT 16 GB,Radeon RX 6800 XT,16,300
