component_type,component_name,component_link,CAS_Latency,Color,ECC_Registered,First_Word_Latency,Form_Factor,Heat_Spreader,Inferred_,Manufacturer,Modules,Part_#_#,Price_GB,Speed,Timing,Voltage
,G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/CXKKHx/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5nr,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),No,,G.Skill,2 x 16GB,F5-6000J3038F16GX2-TZ5NR,$3.53 ,DDR5-6000,30-38-38-96,1.35 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/kTJp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36,36,Black,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2E6000C36,$2.87 ,DDR5-6000,36-44-44-96,1.4 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/QTLFf7/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2d6000c36w,36,White,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2D6000C36W,,DDR5-6000,36-36-36-76,1.35 V
,G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/CXKKHx/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5nr,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),No,,G.Skill,2 x 16GB,F5-6000J3038F16GX2-TZ5NR,$3.53 ,DDR5-6000,30-38-38-96,1.35 V
,Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/LjFmP6/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bweak2-32,30,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Kingston,2 x 16GB,KF560C30BWEAK2-32,$3.75 ,DDR5-6000,,1.4 V
,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/LBstt6/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-fx5,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3038F16GX2-FX5,$3.13 ,DDR5-6000,30-38-38-96,1.35 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/KXV2FT/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36w,36,White / Silver,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2E6000C36W,$2.94 ,DDR5-6000,36-44-44-96,1.4 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/mjt9TW/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmh32gx5m2b6000z30k,30,Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2B6000Z30K,$3.75 ,DDR5-6000,30-36-36-76,1.4 V
,G.Skill Ripjaws M5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/sNNscf/gskill-ripjaws-m5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3648d16gx2-rm5nrw,36,White,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3648D16GX2-RM5NRW,,DDR5-6000,36-48-48-96,1.25 V
,TEAMGROUP T-Force Delta RGB 64 GB (2 x 32 GB) DDR5-5600 CL36,https://pcpartpicker.com/product/3v6NnQ/teamgroup-t-force-delta-rgb-64-gb-2-x-32-gb-ddr5-5600-cl36-memory-ff3d564g5600hc36bdc01,36,Black,Non-ECC / Unbuffered,12.857 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 32GB,FF3D564G5600HC36BDC01,$2.64 ,DDR5-5600,36-36-36-76,1.3 V
,Kingston FURY Renegade 96 GB (2 x 48 GB) DDR5-6000 CL32,https://pcpartpicker.com/product/yHMMnQ/kingston-fury-renegade-96-gb-2-x-48-gb-ddr5-6000-cl32-memory-kf560c32rsk2-96,32,Silver / Black,Non-ECC / Unbuffered,10.667 ns,288-pin DIMM (DDR5),Yes,,Kingston,2 x 48GB,KF560C32RSK2-96,$3.02 ,DDR5-6000,,1.35 V
,TEAMGROUP T-Force Xtreem ARGB 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/DJRYcf/team-t-force-xtreem-argb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf13d416g3200hc16cdc01,16,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TF13D416G3200HC16CDC01,$5.96 ,DDR4-3200,16-18-18-38,1.35 V
,TEAMGROUP T-Force Xtreem ARGB 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/DJRYcf/team-t-force-xtreem-argb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf13d416g3200hc16cdc01,16,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TF13D416G3200HC16CDC01,$5.96 ,DDR4-3200,16-18-18-38,1.35 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/kTJp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36,36,Black,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2E6000C36,$2.87 ,DDR5-6000,36-44-44-96,1.4 V
,Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3000 CL15,https://pcpartpicker.com/product/mLQG3C/corsair-vengeance-rgb-pro-16-gb-2-x-8-gb-ddr4-3000-memory-cmw16gx4m2c3000c15w,15,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 8GB,CMW16GX4M2C3000C15W,$3.50 ,DDR4-3000,15-15-15-36,1.35 V
,TEAMGROUP T-Force Xtreem ARGB 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/DJRYcf/team-t-force-xtreem-argb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf13d416g3200hc16cdc01,16,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TF13D416G3200HC16CDC01,$5.96 ,DDR4-3200,16-18-18-38,1.35 V
,G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/ybrcCJ/gskill-tridentz-rgb-16gb-2-x-8gb-ddr4-3200-memory-f4-3200c16d-16gtzr,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,G.Skill,2 x 8GB,F4-3200C16D-16GTZR,$2.81 ,DDR4-3200,16-18-18-38,1.35 V
,TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/33pzK8/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3600-cl18-memory-tlzrd416g3600hc18jdc01,18,Red,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TLZRD416G3600HC18JDC01,$1.87 ,DDR4-3600,18-22-22-42,1.35 V
,Corsair Dominator Titanium 48 GB (2 x 24 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/FcyH99/corsair-dominator-titanium-48-gb-2-x-24-gb-ddr5-6000-cl30-memory-cmp48gx5m2b6000c30,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 24GB,CMP48GX5M2B6000C30,$4.73 ,DDR5-6000,30-36-36-76,1.4 V
,TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/WFVmP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff4d532g6000hc30dc01,30,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 16GB,FF4D532G6000HC30DC01,$3.19 ,DDR5-6000,30-36-36-76,1.35 V
,G.Skill Trident Z5 RGB 96 GB (2 x 48 GB) DDR5-6800 CL34,https://pcpartpicker.com/product/xb26Mp/gskill-trident-z5-rgb-96-gb-2-x-48-gb-ddr5-6800-cl34-memory-f5-6800j3446f48gx2-tz5rk,34,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 48GB,F5-6800J3446F48GX2-TZ5RK,$3.28 ,DDR5-6800,34-46-46-108,1.35 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/QTLFf7/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2d6000c36w,36,White,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2D6000C36W,,DDR5-6000,36-36-36-76,1.35 V
,Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/LjFmP6/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bweak2-32,30,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Kingston,2 x 16GB,KF560C30BWEAK2-32,$3.75 ,DDR5-6000,,1.4 V
,G.Skill Ripjaws M5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/sNNscf/gskill-ripjaws-m5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3648d16gx2-rm5nrw,36,White,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 16GB,F5-6000J3648D16GX2-RM5NRW,,DDR5-6000,36-48-48-96,1.25 V
,TEAMGROUP T-Force Delta RGB 64 GB (2 x 32 GB) DDR5-5600 CL36,https://pcpartpicker.com/product/3v6NnQ/teamgroup-t-force-delta-rgb-64-gb-2-x-32-gb-ddr5-5600-cl36-memory-ff3d564g5600hc36bdc01,36,Black,Non-ECC / Unbuffered,12.857 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 32GB,FF3D564G5600HC36BDC01,$2.64 ,DDR5-5600,36-36-36-76,1.3 V
,Kingston FURY Renegade 96 GB (2 x 48 GB) DDR5-6000 CL32,https://pcpartpicker.com/product/yHMMnQ/kingston-fury-renegade-96-gb-2-x-48-gb-ddr5-6000-cl32-memory-kf560c32rsk2-96,32,Silver / Black,Non-ECC / Unbuffered,10.667 ns,288-pin DIMM (DDR5),Yes,,Kingston,2 x 48GB,KF560C32RSK2-96,$3.02 ,DDR5-6000,,1.35 V
,TEAMGROUP T-Force Xtreem ARGB 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/DJRYcf/team-t-force-xtreem-argb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf13d416g3200hc16cdc01,16,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TF13D416G3200HC16CDC01,$5.96 ,DDR4-3200,16-18-18-38,1.35 V
,TEAMGROUP T-Force Xtreem ARGB 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/DJRYcf/team-t-force-xtreem-argb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf13d416g3200hc16cdc01,16,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TF13D416G3200HC16CDC01,$5.96 ,DDR4-3200,16-18-18-38,1.35 V
,Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3000 CL15,https://pcpartpicker.com/product/mLQG3C/corsair-vengeance-rgb-pro-16-gb-2-x-8-gb-ddr4-3000-memory-cmw16gx4m2c3000c15w,15,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 8GB,CMW16GX4M2C3000C15W,$3.50 ,DDR4-3000,15-15-15-36,1.35 V
,TEAMGROUP T-Force Xtreem ARGB 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/DJRYcf/team-t-force-xtreem-argb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tf13d416g3200hc16cdc01,16,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 8GB,TF13D416G3200HC16CDC01,$5.96 ,DDR4-3200,16-18-18-38,1.35 V
,Kingston HyperX Fury 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/QBrYcf/kingston-hyperx-fury-16-gb-2-x-8-gb-ddr4-3200-memory-hx432c16fb3k216,16,Black / Silver,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Kingston,2 x 8GB,HX432C16FB3K2/16,,DDR4-3200,,1.35 V
,G.Skill Flare X5 16 GB (1 x 16 GB) DDR5-5600 CL36,https://pcpartpicker.com/product/Jfrqqs/gskill-flare-x5-16-gb-1-x-16-gb-ddr5-5600-cl36-memory-f5-5600j3636c16gx1-fx5,36,Black,Non-ECC / Unbuffered,12.857 ns,288-pin DIMM (DDR5),Yes,,G.Skill,1 x 16GB,F5-5600J3636C16GX1-FX5,,DDR5-5600,36-36-36-89,1.1 V
,G.Skill Trident Z5 RGB 48 GB (2 x 24 GB) DDR5-8000 CL40,https://pcpartpicker.com/product/2QGhP6/gskill-trident-z5-rgb-48-gb-2-x-24-gb-ddr5-8000-cl40-memory-f5-8000j4048f24gx2-tz5rw,40,White / Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 24GB,F5-8000J4048F24GX2-TZ5RW,$4.38 ,DDR5-8000,40-48-48-128,1.35 V
,Corsair Vengeance 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/8ZQKHx/corsair-vengeance-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmk64gx5m2b6000c30,30,Black / Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 32GB,CMK64GX5M2B6000C30,$3.52 ,DDR5-6000,30-36-36-76,1.4 V
,G.Skill Trident Z5 RGB 64 GB (2 x 32 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/qXkH99/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6000-cl36-memory-f5-6000j3636f32gx2-tz5rk,36,Black,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-6000J3636F32GX2-TZ5RK,$2.47 ,DDR5-6000,36-36-36-96,1.35 V
,Corsair Dominator Platinum RGB 64 GB (2 x 32 GB) DDR5-5200 CL40,https://pcpartpicker.com/product/ZZD7YJ/corsair-dominator-platinum-rgb-64-gb-2-x-32-gb-ddr5-5200-cl40-memory-cmt64gx5m2b5200c40,40,Black,Non-ECC / Unbuffered,15.385 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 32GB,CMT64GX5M2B5200C40,$3.06 ,DDR5-5200,40-40-40-77,1.25 V
,Corsair Vengeance 64 GB (2 x 32 GB) DDR5-6000 CL38,https://pcpartpicker.com/product/QhbRsY/corsair-vengeance-64-gb-2-x-32-gb-ddr5-6000-cl38-memory-cmk64gx5m2b6000c38,38,Black,Non-ECC / Unbuffered,12.667 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 32GB,CMK64GX5M2B6000C38,$2.98 ,DDR5-6000,38-44-44-96,1.35 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6400 CL36,https://pcpartpicker.com/product/j6sV3C/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6400-cl36-memory-cmh32gx5m2b6400c36,36,Black,Non-ECC / Unbuffered,11.25 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2B6400C36,$2.90 ,DDR5-6400,36-48-48-104,1.4 V
,G.Skill Ripjaws M5 Neo RGB 96 GB (2 x 48 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/LTHp99/gskill-ripjaws-m5-neo-rgb-96-gb-2-x-48-gb-ddr5-6000-cl30-memory-f5-6000j3036f48gx2-rm5nrk,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 48GB,F5-6000J3036F48GX2-RM5NRK,$3.13 ,DDR5-6000,30-36-36-96,1.35 V
,Patriot Signature Premium 16 GB (1 x 16 GB) DDR4-2666 CL19,https://pcpartpicker.com/product/nHvbt6/patriot-signature-premium-16-gb-1-x-16-gb-ddr4-2666-memory-psp416g26662h1,19,Black,Non-ECC / Unbuffered,14.254 ns,288-pin DIMM (DDR4),Yes,,Patriot,1 x 16GB,PSP416G26662H1,$1.50 ,DDR4-2666,19-19-19-43,1.2 V
,G.Skill Ripjaws S5 48 GB (2 x 24 GB) DDR5-6400 CL36,https://pcpartpicker.com/product/zPfxFT/gskill-ripjaws-s5-48-gb-2-x-24-gb-ddr5-6400-cl36-memory-f5-6400j3648g24gx2-rs5k,36,Black,Non-ECC / Unbuffered,11.25 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 24GB,F5-6400J3648G24GX2-RS5K,$2.71 ,DDR5-6400,36-48-48-102,1.4 V
,G.Skill Trident Z5 RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/DtFbt6/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5rk,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-6000J3040G32GX2-TZ5RK,$3.28 ,DDR5-6000,30-40-40-96,1.4 V
,TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/WFVmP6/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ff4d532g6000hc30dc01,30,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,TEAMGROUP,2 x 16GB,FF4D532G6000HC30DC01,$3.19 ,DDR5-6000,30-36-36-76,1.35 V
,Corsair Vengeance RGB 64 GB (4 x 16 GB) DDR5-5600 CL36,https://pcpartpicker.com/product/mMqPxr/corsair-vengeance-rgb-64-gb-4-x-16-gb-ddr5-5600-cl36-memory-cmh64gx5m4b5600c36,36,Black,Non-ECC / Unbuffered,12.857 ns,288-pin DIMM (DDR5),Yes,,Corsair,4 x 16GB,CMH64GX5M4B5600C36,,DDR5-5600,36-36-36-76,1.25 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6400 CL36,https://pcpartpicker.com/product/j6sV3C/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6400-cl36-memory-cmh32gx5m2b6400c36,36,Black,Non-ECC / Unbuffered,11.25 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2B6400C36,$2.90 ,DDR5-6400,36-48-48-104,1.4 V
,G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3600 CL16,https://pcpartpicker.com/product/zcH8TW/gskill-ripjaws-v-32-gb-2-x-16-gb-ddr4-3600-memory-f4-3600c16d-32gvkc,16,Black,Non-ECC / Unbuffered,8.889 ns,288-pin DIMM (DDR4),Yes,,G.Skill,2 x 16GB,F4-3600C16D-32GVKC,$2.12 ,DDR4-3600,16-19-19-39,1.35 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/mjt9TW/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmh32gx5m2b6000z30k,30,Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2B6000Z30K,$3.75 ,DDR5-6000,30-36-36-76,1.4 V
,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/mjt9TW/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmh32gx5m2b6000z30k,30,Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 16GB,CMH32GX5M2B6000Z30K,$3.75 ,DDR5-6000,30-36-36-76,1.4 V
,Patriot Viper Venom 32 GB (2 x 16 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/4cCCmG/patriot-viper-venom-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-pvv532g600c30k,30,Black / White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Patriot,2 x 16GB,PVV532G600C30K,$2.59 ,DDR5-6000,30-40-40-76,1.35 V
,Corsair Vengeance RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/WTMMnQ/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmh64gx5m2b6000c30,30,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 32GB,CMH64GX5M2B6000C30,$3.28 ,DDR5-6000,30-36-36-76,1.4 V
,Corsair Vengeance RGB 96 GB (2 x 48 GB) DDR5-6400 CL32,https://pcpartpicker.com/product/9QcgXL/corsair-vengeance-rgb-96-gb-2-x-48-gb-ddr5-6400-cl32-memory-cmh96gx5m2b6400c32,32,Black / Silver,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Corsair,2 x 48GB,CMH96GX5M2B6400C32,$3.65 ,DDR5-6400,32-40-40-84,1.4 V
,Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/W6ndnQ/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3200-memory-cmk32gx4m2e3200c16,16,Black / Yellow,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,2 x 16GB,CMK32GX4M2E3200C16,$1.63 ,DDR4-3200,16-20-20-38,1.35 V
,Corsair Vengeance RGB Pro SL 32 GB (4 x 8 GB) DDR4-3600 CL18,https://pcpartpicker.com/product/FhmmP6/corsair-vengeance-rgb-pro-sl-32-gb-4-x-8-gb-ddr4-3600-cl18-memory-cmh32gx4m4d3600c18w,18,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,Corsair,4 x 8GB,CMH32GX4M4D3600C18W,$3.53 ,DDR4-3600,18-22-22-42,1.35 V
,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL36,https://pcpartpicker.com/product/pwxRsY/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-fx5,36,Black,Non-ECC / Unbuffered,12 ns,288-pin DIMM (DDR5),No,,G.Skill,2 x 16GB,F5-6000J3636F16GX2-FX5,$2.56 ,DDR5-6000,36-36-36-96,1.35 V
,Kingston FURY Beast RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,https://pcpartpicker.com/product/DMkH99/kingston-fury-beast-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-kf560c30bweak2-64,30,White,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,Kingston,2 x 32GB,KF560C30BWEAK2-64,$3.28 ,DDR5-6000,,1.4 V
,Crucial Pro 32 GB (2 x 16 GB) DDR5-6400 CL38,https://pcpartpicker.com/product/ZNJp99/crucial-pro-32-gb-2-x-16-gb-ddr5-6400-cl38-memory-cp2k16g64c38u5w,38,White,Non-ECC / Unbuffered,11.875 ns,288-pin DIMM (DDR5),Yes,,Crucial,2 x 16GB,CP2K16G64C38U5W,$3.44 ,DDR5-6400,38-40-40-84,1.35 V
,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/wNt9TW/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-ttced432g3200hc16fdc01,16,Gray,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,TEAMGROUP,2 x 16GB,TTCED432G3200HC16FDC01,$1.59 ,DDR4-3200,16-20-20-40,1.35 V
,G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/Cf98TW/gskill-ripjaws-v-series-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16d-16gvkb,16,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),Yes,,G.Skill,2 x 8GB,F4-3200C16D-16GVKB,$2.06 ,DDR4-3200,,1.35 V
,Lexar THOR OC 32 GB (2 x 16 GB) DDR5-6000 CL32,https://pcpartpicker.com/product/xtqrxr/lexar-thor-oc-32-gb-2-x-16-gb-ddr5-6000-cl32-memory-ld5u16g60c32lg-rud,32,Black / Gold,Non-ECC / Unbuffered,10.667 ns,288-pin DIMM (DDR5),Yes,,Lexar,2 x 16GB,LD5U16G60C32LG-RUD,$3.38 ,DDR5-6000,32-38-38-76,1.35 V
,G.Skill F5-5600J2834F32GX2-TZ5RK 64 GB (2 x 32 GB) DDR5-5600 CL28,https://pcpartpicker.com/product/yPBG3C/gskill-64-gb-2-x-32-gb-ddr5-5600-cl28-memory-f5-5600j2834f32gx2-tz5rk,28,Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-5600J2834F32GX2-TZ5RK,$3.13 ,DDR5-5600,28-34-34-89,1.35 V
,G.Skill Trident Z5 RGB 64 GB (2 x 32 GB) DDR5-6400 CL32,https://pcpartpicker.com/product/636p99/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-f5-6400j3239g32gx2-tz5rk,32,Black / Silver,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR5),Yes,,G.Skill,2 x 32GB,F5-6400J3239G32GX2-TZ5RK,$3.27 ,DDR5-6400,32-39-39-102,1.4 V
,G.Skill Aegis 32 GB (2 x 16 GB) DDR4-3200 CL16,https://pcpartpicker.com/product/8BLwrH/gskill-aegis-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-f4-3200c16d-32gis,16,Red / Black,Non-ECC / Unbuffered,10 ns,288-pin DIMM (DDR4),No,,G.Skill,2 x 16GB,F4-3200C16D-32GIS,$1.56 ,DDR4-3200,16-18-18-38,1.35 V
