component_name,component_link,CAS_Latency,Color,First_Word_Latency,Form_Factor,Heat_Spreader,Manufacturer,Modules,Part__,Price_GB,Speed,Voltage,Speed_MHz,CL,tRCD,tRP,tRAS,ECC_Support,DDR_Type
Corsair Vengeance Rgb 32 Gb (2 X 16 Gb) Ddr5-6400 Cl36,https://pcpartpicker.com/product/j6sV3C/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6400-cl36-memory-cmh32gx5m2b6400c36,36,Black,11.25,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMH32GX5M2B6400C36,3,DDR5-6400,1.4,5,36,48,48,104,TRUE,DDR5
G.Skill Ripjaws M5 Neo Rgb 96 Gb (2 X 48 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/LTHp99/gskill-ripjaws-m5-neo-rgb-96-gb-2-x-48-gb-ddr5-6000-cl30-memory-f5-6000j3036f48gx2-rm5nrk,30,Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 48GB,F5-6000J3036F48GX2-RM5NRK,3,DDR5-6000,1.35,5,30,36,36,96,TRUE,DDR5
Patriot Signature Premium 16 Gb (1 X 16 Gb) Ddr4-2666 Cl19,https://pcpartpicker.com/product/nHvbt6/patriot-signature-premium-16-gb-1-x-16-gb-ddr4-2666-memory-psp416g26662h1,19,Black,14.254,288-pin DIMM (DDR4),TRUE,Patriot,1 x 16GB,PSP416G26662H1,3,DDR4-2666,1.2,4,19,19,19,43,TRUE,DDR4
G.Skill Ripjaws S5 48 Gb (2 X 24 Gb) Ddr5-6400 Cl36,https://pcpartpicker.com/product/zPfxFT/gskill-ripjaws-s5-48-gb-2-x-24-gb-ddr5-6400-cl36-memory-f5-6400j3648g24gx2-rs5k,36,Black,11.25,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 24GB,F5-6400J3648G24GX2-RS5K,3,DDR5-6400,1.4,5,36,48,48,102,TRUE,DDR5
G.Skill Trident Z5 Rgb 64 Gb (2 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/DtFbt6/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5rk,30,Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 32GB,F5-6000J3040G32GX2-TZ5RK,3,DDR5-6000,1.4,5,30,40,40,96,TRUE,DDR5
Corsair Vengeance Rgb 64 Gb (4 X 16 Gb) Ddr5-5600 Cl36,https://pcpartpicker.com/product/mMqPxr/corsair-vengeance-rgb-64-gb-4-x-16-gb-ddr5-5600-cl36-memory-cmh64gx5m4b5600c36,36,Black,12.857,288-pin DIMM (DDR5),TRUE,Corsair,4 x 16GB,CMH64GX5M4B5600C36,3,DDR5-5600,1.25,5,36,36,36,76,TRUE,DDR5
G.Skill Ripjaws V 32 Gb (2 X 16 Gb) Ddr4-3600 Cl16,https://pcpartpicker.com/product/zcH8TW/gskill-ripjaws-v-32-gb-2-x-16-gb-ddr4-3600-memory-f4-3600c16d-32gvkc,16,Black,8.889,288-pin DIMM (DDR4),TRUE,G.Skill,2 x 16GB,F4-3600C16D-32GVKC,3,DDR4-3600,1.35,4,16,19,19,39,TRUE,DDR4
Patriot Viper Venom 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/4cCCmG/patriot-viper-venom-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-pvv532g600c30k,30,Black / White,10,288-pin DIMM (DDR5),TRUE,Patriot,2 x 16GB,PVV532G600C30K,3,DDR5-6000,1.35,5,30,40,40,76,TRUE,DDR5
Corsair Vengeance Rgb 64 Gb (2 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/WTMMnQ/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmh64gx5m2b6000c30,30,Black,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 32GB,CMH64GX5M2B6000C30,3,DDR5-6000,1.4,5,30,36,36,76,TRUE,DDR5
Corsair Vengeance Rgb 96 Gb (2 X 48 Gb) Ddr5-6400 Cl32,https://pcpartpicker.com/product/9QcgXL/corsair-vengeance-rgb-96-gb-2-x-48-gb-ddr5-6400-cl32-memory-cmh96gx5m2b6400c32,32,Black / Silver,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 48GB,CMH96GX5M2B6400C32,3,DDR5-6400,1.4,5,32,40,40,84,TRUE,DDR5
Corsair Vengeance Lpx 32 Gb (2 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/W6ndnQ/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3200-memory-cmk32gx4m2e3200c16,16,Black / Yellow,10,288-pin DIMM (DDR4),TRUE,Corsair,2 x 16GB,CMK32GX4M2E3200C16,3,DDR4-3200,1.35,4,16,20,20,38,TRUE,DDR4
Corsair Vengeance Rgb Pro Sl 32 Gb (4 X 8 Gb) Ddr4-3600 Cl18,https://pcpartpicker.com/product/FhmmP6/corsair-vengeance-rgb-pro-sl-32-gb-4-x-8-gb-ddr4-3600-cl18-memory-cmh32gx4m4d3600c18w,18,White,10,288-pin DIMM (DDR4),TRUE,Corsair,4 x 8GB,CMH32GX4M4D3600C18W,3,DDR4-3600,1.35,4,18,22,22,42,TRUE,DDR4
G.Skill Flare X5 32 Gb (2 X 16 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/pwxRsY/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-fx5,36,Black,12,288-pin DIMM (DDR5),FALSE,G.Skill,2 x 16GB,F5-6000J3636F16GX2-FX5,3,DDR5-6000,1.35,5,36,36,36,96,TRUE,DDR5
Kingston Fury Beast Rgb 64 Gb (2 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/DMkH99/kingston-fury-beast-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-kf560c30bweak2-64,30,White,10,288-pin DIMM (DDR5),TRUE,Kingston,2 x 32GB,KF560C30BWEAK2-64,3,DDR5-6000,1.4,5,,,,,TRUE,DDR5
Crucial Pro 32 Gb (2 X 16 Gb) Ddr5-6400 Cl38,https://pcpartpicker.com/product/ZNJp99/crucial-pro-32-gb-2-x-16-gb-ddr5-6400-cl38-memory-cp2k16g64c38u5w,38,White,11.875,288-pin DIMM (DDR5),TRUE,Crucial,2 x 16GB,CP2K16G64C38U5W,3,DDR5-6400,1.35,5,38,40,40,84,TRUE,DDR5
Teamgroup T-Create Expert 32 Gb (2 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/wNt9TW/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-ttced432g3200hc16fdc01,16,Gray,10,288-pin DIMM (DDR4),TRUE,Teamgroup,2 x 16GB,TTCED432G3200HC16FDC01,3,DDR4-3200,1.35,4,16,20,20,40,TRUE,DDR4
G.Skill Ripjaws V 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/Cf98TW/gskill-ripjaws-v-series-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16d-16gvkb,16,Black,10,288-pin DIMM (DDR4),TRUE,G.Skill,2 x 8GB,F4-3200C16D-16GVKB,3,DDR4-3200,1.35,4,,,,,TRUE,DDR4
Lexar Thor Oc 32 Gb (2 X 16 Gb) Ddr5-6000 Cl32,https://pcpartpicker.com/product/xtqrxr/lexar-thor-oc-32-gb-2-x-16-gb-ddr5-6000-cl32-memory-ld5u16g60c32lg-rud,32,Black / Gold,10.667,288-pin DIMM (DDR5),TRUE,Lexar,2 x 16GB,LD5U16G60C32LG-RUD,3,DDR5-6000,1.35,5,32,38,38,76,TRUE,DDR5
G.Skill F5-5600J2834F32Gx2-Tz5Rk 64 Gb (2 X 32 Gb) Ddr5-5600 Cl28,https://pcpartpicker.com/product/yPBG3C/gskill-64-gb-2-x-32-gb-ddr5-5600-cl28-memory-f5-5600j2834f32gx2-tz5rk,28,Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 32GB,F5-5600J2834F32GX2-TZ5RK,3,DDR5-5600,1.35,5,28,34,34,89,TRUE,DDR5
G.Skill Trident Z5 Rgb 64 Gb (2 X 32 Gb) Ddr5-6400 Cl32,https://pcpartpicker.com/product/636p99/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-f5-6400j3239g32gx2-tz5rk,32,Black / Silver,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 32GB,F5-6400J3239G32GX2-TZ5RK,3,DDR5-6400,1.4,5,32,39,39,102,TRUE,DDR5
G.Skill Aegis 32 Gb (2 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/8BLwrH/gskill-aegis-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-f4-3200c16d-32gis,16,Red / Black,10,288-pin DIMM (DDR4),FALSE,G.Skill,2 x 16GB,F4-3200C16D-32GIS,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
Patriot Viper Venom Rgb 32 Gb (2 X 16 Gb) Ddr5-6400 Cl40,https://pcpartpicker.com/product/6zGhP6/patriot-viper-venom-rgb-32-gb-2-x-16-gb-ddr5-6400-cl40-memory-pvvr532g640c32k,40,Black / White,12.5,288-pin DIMM (DDR5),TRUE,Patriot,2 x 16GB,PVVR532G640C32K,3,DDR5-6400,1.4,5,40,40,40,77,TRUE,DDR5
G.Skill Trident Z5 Rgb 32 Gb (2 X 16 Gb) Ddr5-7800 Cl36,https://pcpartpicker.com/product/mHYmP6/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-7800-cl36-memory-f5-7800j3646h16gx2-tz5rk,36,Black,9.231,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-7800J3646H16GX2-TZ5RK,3,DDR5-7800,1.45,5,36,46,46,125,TRUE,DDR5
Silicon Power Xpower Zenith Rgb Gaming 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/fxdG3C/silicon-power-xpower-zenith-rgb-gaming-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-sp032gxlwu60afdh,30,White,10,288-pin DIMM (DDR5),TRUE,Silicon Power,2 x 16GB,SP032GXLWU60AFDH,3,DDR5-6000,1.35,5,30,38,38,96,TRUE,DDR5
Corsair Vengeance Rgb Pro Sl 64 Gb (4 X 16 Gb) Ddr4-3600 Cl18,https://pcpartpicker.com/product/NQwypg/corsair-vengeance-rgb-pro-sl-64-gb-4-x-16-gb-ddr4-3600-cl18-memory-cmh64gx4m4d3600c18w,18,White,10,288-pin DIMM (DDR4),TRUE,Corsair,4 x 16GB,CMH64GX4M4D3600C18W,3,DDR4-3600,1.35,4,18,22,22,42,TRUE,DDR4
G.Skill Trident Z5 Rgb 96 Gb (2 X 48 Gb) Ddr5-6400 Cl32,https://pcpartpicker.com/product/VdxxFT/gskill-trident-z5-rgb-96-gb-2-x-48-gb-ddr5-6400-cl32-memory-f5-6400j3239f48gx2-tz5rw,32,White / Black,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 48GB,F5-6400J3239F48GX2-TZ5RW,3,DDR5-6400,1.35,5,32,39,39,102,TRUE,DDR5
Crucial Ballistix 16 Gb (2 X 8 Gb) Ddr4-3600 Cl16,https://pcpartpicker.com/product/2TFKHx/crucial-ballistix-16-gb-2-x-8-gb-ddr4-3600-memory-bl2k8g36c16u4b,16,Black,8.889,288-pin DIMM (DDR4),TRUE,Crucial,2 x 8GB,BL2K8G36C16U4B,3,DDR4-3600,1.35,4,16,18,18,38,TRUE,DDR4
Crucial Pro Overclocking 32 Gb (2 X 16 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/63TZxr/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cp2k16g60c36u5w,36,White,12,288-pin DIMM (DDR5),TRUE,Crucial,2 x 16GB,CP2K16G60C36U5W,3,DDR5-6000,1.35,5,36,38,38,80,TRUE,DDR5
Crucial Pro 64 Gb (2 X 32 Gb) Ddr4-3200 Cl22,https://pcpartpicker.com/product/s288TW/crucial-pro-64-gb-2-x-32-gb-ddr4-3200-cl22-memory-cp2k32g4dfra32a,22,Black / Green,13.75,288-pin DIMM (DDR4),TRUE,Crucial,2 x 32GB,CP2K32G4DFRA32A,3,DDR4-3200,1.2,4,,,,,TRUE,DDR4
G.Skill Aegis 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/mcH8TW/gskill-aegis-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16d-16gis,16,Red / Black,10,288-pin DIMM (DDR4),FALSE,G.Skill,2 x 8GB,F4-3200C16D-16GIS,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
Corsair Vengeance Rgb 32 Gb (2 X 16 Gb) Ddr5-6400 Cl36,https://pcpartpicker.com/product/rBqrxr/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6400-cl36-memory-cmh32gx5m2b6400c36w,36,White / Black,11.25,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMH32GX5M2B6400C36W,3,DDR5-6400,1.4,5,36,48,48,104,TRUE,DDR5
Crucial Pro 32 Gb (2 X 16 Gb) Ddr4-3200 Cl22,https://pcpartpicker.com/product/FRKscf/crucial-pro-32-gb-2-x-16-gb-ddr4-3200-cl22-memory-cp2k16g4dfra32a,22,Black,13.75,288-pin DIMM (DDR4),TRUE,Crucial,2 x 16GB,CP2K16G4DFRA32A,3,DDR4-3200,1.2,4,,,,,TRUE,DDR4
Klevv Fit V 32 Gb (2 X 16 Gb) Ddr5-6000 Cl32,https://pcpartpicker.com/product/C93NnQ/klevv-fit-v-32-gb-2-x-16-gb-ddr5-6000-cl32-memory-kd5agu880-60a320f,32,White,10.667,288-pin DIMM (DDR5),TRUE,Klevv,2 x 16GB,KD5AGU880-60A320F,3,DDR5-6000,1.35,5,32,38,38,78,TRUE,DDR5
Silicon Power Xpower Zenith Gaming 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/hPfnTW/silicon-power-xpower-zenith-gaming-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-sp016gxlzu320bdc,16,Black / Silver,10,288-pin DIMM (DDR4),TRUE,Silicon Power,2 x 8GB,SP016GXLZU320BDC,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
G.Skill Trident Z5 Royal 48 Gb (2 X 24 Gb) Ddr5-7200 Cl36,https://pcpartpicker.com/product/4sdG3C/gskill-trident-z5-royal-48-gb-2-x-24-gb-ddr5-7200-cl36-memory-f5-7200j3646f24gx2-tr5g,36,Gold,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 24GB,F5-7200J3646F24GX2-TR5G,3,DDR5-7200,1.35,5,36,46,46,115,TRUE,DDR5
G.Skill Trident Z5 Royal Neo Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl28,https://pcpartpicker.com/product/Hm6NnQ/gskill-trident-z5-royal-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl28-memory-f5-6000j2836g16gx2-tr5ns,28,Silver,9.333,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-6000J2836G16GX2-TR5NS,3,DDR5-6000,1.4,5,28,36,36,96,TRUE,DDR5
Corsair Vengeance Lpx 32 Gb (2 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/YPX2FT/corsair-vengeance-lpx-32gb-2-x-16gb-ddr4-3200-memory-cmk32gx4m2b3200c16w,16,White,10,288-pin DIMM (DDR4),TRUE,Corsair,2 x 16GB,CMK32GX4M2B3200C16W,3,DDR4-3200,1.35,4,16,18,18,36,TRUE,DDR4
Patriot Viper Venom 64 Gb (2 X 32 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/ChdG3C/patriot-viper-venom-64-gb-2-x-32-gb-ddr5-6000-cl36-memory-pvv564g600c36k,36,Black / White,12,288-pin DIMM (DDR5),TRUE,Patriot,2 x 32GB,PVV564G600C36K,3,DDR5-6000,1.35,5,36,36,36,76,TRUE,DDR5
Corsair Dominator Titanium 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/vTjRsY/corsair-dominator-titanium-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmp32gx5m2b6000c30w,30,White,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMP32GX5M2B6000C30W,3,DDR5-6000,1.4,5,30,36,36,76,TRUE,DDR5
Teamgroup T-Force Delta Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl38,https://pcpartpicker.com/product/cd3NnQ/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl38-memory-ff4d532g6000hc38gdc01,38,White,12.667,288-pin DIMM (DDR5),TRUE,Teamgroup,2 x 16GB,FF4D532G6000HC38GDC01,3,DDR5-6000,1.25,5,38,46,46,76,TRUE,DDR5
Corsair Vengeance Lpx 32 Gb (2 X 16 Gb) Ddr4-2666 Cl16,https://pcpartpicker.com/product/wf98TW/corsair-memory-cmk32gx4m2a2666c16,16,Black / Yellow,12.003,288-pin DIMM (DDR4),TRUE,Corsair,2 x 16GB,CMK32GX4M2A2666C16,3,DDR4-2666,1.2,4,16,18,18,35,TRUE,DDR4
Corsair Dominator Platinum Rgb 32 Gb (2 X 16 Gb) Ddr5-7200 Cl34,https://pcpartpicker.com/product/Mh4Ycf/corsair-dominator-platinum-rgb-32-gb-2-x-16-gb-ddr5-7200-cl34-memory-cmt32gx5m2x7200c34,34,Black,9.444,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMT32GX5M2X7200C34,3,DDR5-7200,1.45,5,34,44,44,96,TRUE,DDR5
Teamgroup T-Create Classic 32 Gb (2 X 16 Gb) Ddr5-5600 Cl46,https://pcpartpicker.com/product/qk9wrH/teamgroup-t-create-classic-32-gb-2-x-16-gb-ddr5-5600-cl46-memory-ctccd532g5600hc46dc01,46,Black,16.429,288-pin DIMM (DDR5),TRUE,Teamgroup,2 x 16GB,CTCCD532G5600HC46DC01,3,DDR5-5600,1.1,5,46,46,46,90,TRUE,DDR5
Corsair Vengeance Rgb 48 Gb (2 X 24 Gb) Ddr5-6000 Cl36,https://pcpartpicker.com/product/mw3NnQ/corsair-vengeance-rgb-48-gb-2-x-24-gb-ddr5-6000-cl36-memory-cmh48gx5m2e6000c36,36,Black / Silver,12,288-pin DIMM (DDR5),TRUE,Corsair,2 x 24GB,CMH48GX5M2E6000C36,3,DDR5-6000,1.4,5,36,44,44,96,TRUE,DDR5
Corsair Dominator Platinum Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/wXxRsY/corsair-dominator-platinum-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmt32gx5m2b6000z30k,30,Black,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 16GB,CMT32GX5M2B6000Z30K,3,DDR5-6000,1.4,5,30,36,36,76,TRUE,DDR5
G.Skill Trident Z 32 Gb (2 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/6KgPxr/gskill-tridentz-32gb-2-x-16gb-ddr4-3200-memory-f4-3200c16d-32gtzsw,16,Silver / White,10,288-pin DIMM (DDR4),TRUE,G.Skill,2 x 16GB,F4-3200C16D-32GTZSW,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
Kingston Fury Beast 32 Gb (1 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/XF26Mp/kingston-fury-beast-32-gb-1-x-32-gb-ddr5-6000-cl30-memory-kf560c30bb-32,30,Black,10,288-pin DIMM (DDR5),TRUE,Kingston,1 x 32GB,KF560C30BB-32,3,DDR5-6000,1.4,5,,,,,TRUE,DDR5
Kingston Fury Beast Rgb 32 Gb (2 X 16 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/NWhv6h/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbeak2-32,30,Black,10,288-pin DIMM (DDR5),TRUE,Kingston,2 x 16GB,KF560C30BBEAK2-32,3,DDR5-6000,1.4,5,,,,,TRUE,DDR5
Corsair Vengeance 96 Gb (2 X 48 Gb) Ddr5-5200 Cl38,https://pcpartpicker.com/product/MKZXsY/corsair-vengeance-96-gb-2-x-48-gb-ddr5-5200-cl38-memory-cmk96gx5m2b5200c38,38,Black,14.615,288-pin DIMM (DDR5),TRUE,Corsair,2 x 48GB,CMK96GX5M2B5200C38,3,DDR5-5200,1.25,5,38,38,38,84,TRUE,DDR5
Corsair Dominator Titanium 96 Gb (2 X 48 Gb) Ddr5-6600 Cl32,https://pcpartpicker.com/product/ZsvD4D/corsair-dominator-titanium-96-gb-2-x-48-gb-ddr5-6600-cl32-memory-cmp96gx5m2b6600c32,32,Black,9.697,288-pin DIMM (DDR5),TRUE,Corsair,2 x 48GB,CMP96GX5M2B6600C32,3,DDR5-6600,1.4,5,32,39,39,76,TRUE,DDR5
G.Skill Trident Z Neo 32 Gb (2 X 16 Gb) Ddr4-3600 Cl16,https://pcpartpicker.com/product/w3FKHx/gskill-trident-z-neo-32-gb-2-x-16-gb-ddr4-3600-cl16-memory-f4-3600c16d-32gtznc,16,Black / Silver,8.889,288-pin DIMM (DDR4),TRUE,G.Skill,2 x 16GB,F4-3600C16D-32GTZNC,3,DDR4-3600,1.35,4,16,19,19,39,TRUE,DDR4
Kingston Fury Beast 32 Gb (2 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/gtddnQ/kingston-fury-beast-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-kf432c16bb1k232,16,Black,10,288-pin DIMM (DDR4),TRUE,Kingston,2 x 16GB,KF432C16BB1K2/32,3,DDR4-3200,1.35,4,,,,,TRUE,DDR4
G.Skill Ripjaws V 32 Gb (2 X 16 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/kXbkcf/gskill-ripjaws-v-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-f4-3200c16d-32gvk,16,Black,10,288-pin DIMM (DDR4),TRUE,G.Skill,2 x 16GB,F4-3200C16D-32GVK,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
Teamgroup T-Create Classic 32 Gb (2 X 16 Gb) Ddr4-3200 Cl22,https://pcpartpicker.com/product/sKXJ7P/team-t-create-classic-32-gb-2-x-16-gb-ddr4-3200-cl22-memory-ttccd432g3200hc22dc01,22,Silver,13.75,288-pin DIMM (DDR4),TRUE,Teamgroup,2 x 16GB,TTCCD432G3200HC22DC01,3,DDR4-3200,1.2,4,22,22,22,52,TRUE,DDR4
Kingston Hyperx Fury 16 Gb (2 X 8 Gb) Ddr3-1866 Cl10,https://pcpartpicker.com/product/CtV48d/kingston-memory-hx318c10fbk216,10,Black / Silver,10.718,240-pin DIMM (DDR3),TRUE,Kingston,2 x 8GB,HX318C10FBK2/16,3,DDR3-1866,1.5,3,,,,,TRUE,DDR3
G.Skill Ripjaws M5 Rgb 32 Gb (2 X 16 Gb) Ddr5-6400 Cl36,https://pcpartpicker.com/product/bL3NnQ/gskill-ripjaws-m5-rgb-32-gb-2-x-16-gb-ddr5-6400-cl36-memory-f5-6400j3648f16gx2-rm5rw,36,White,11.25,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-6400J3648F16GX2-RM5RW,3,DDR5-6400,1.35,5,36,48,48,102,TRUE,DDR5
Corsair Vengeance Rgb 128 Gb (4 X 32 Gb) Ddr5-5600 Cl40,https://pcpartpicker.com/product/PNsV3C/corsair-vengeance-rgb-128-gb-4-x-32-gb-ddr5-5600-cl40-memory-cmh128gx5m4b5600c40,40,Black,14.286,288-pin DIMM (DDR5),TRUE,Corsair,4 x 32GB,CMH128GX5M4B5600C40,3,DDR5-5600,1.25,5,40,40,40,77,TRUE,DDR5
Corsair Vengeance Lpx 16 Gb (2 X 8 Gb) Ddr4-3600 Cl18,https://pcpartpicker.com/product/VNJtt6/corsair-16-gb-2-x-8-gb-ddr4-3600-memory-cmk16gx4m2d3600c18,18,Black,10,288-pin DIMM (DDR4),TRUE,Corsair,2 x 8GB,CMK16GX4M2D3600C18,3,DDR4-3600,1.35,4,18,22,22,42,TRUE,DDR4
G.Skill Ripjaws V 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/qGqbt6/gskill-memory-f43200c16d16gvgb,16,Black,10,288-pin DIMM (DDR4),TRUE,G.Skill,2 x 8GB,F4-3200C16D-16GVGB,3,DDR4-3200,1.35,4,,,,,TRUE,DDR4
G.Skill Trident Z5 Neo Rgb 32 Gb (2 X 16 Gb) Ddr5-6400 Cl32,https://pcpartpicker.com/product/GKn9TW/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-f5-6400j3239g16gx2-tz5nr,32,Nan,10,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 16GB,F5-6400J3239G16GX2-TZ5NR,3,DDR5-6400,1.4,5,32,39,39,102,TRUE,DDR5
Teamgroup T-Force Vulcan Z 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/JmyV3C/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3200-memory-tlzrd416g3200hc16cdc01,16,Red,10,288-pin DIMM (DDR4),TRUE,Teamgroup,2 x 8GB,TLZRD416G3200HC16CDC01,3,DDR4-3200,1.35,4,16,18,18,38,TRUE,DDR4
Corsair Dominator Titanium 64 Gb (2 X 32 Gb) Ddr5-6000 Cl30,https://pcpartpicker.com/product/xnNYcf/corsair-dominator-titanium-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmp64gx5m2b6000z30,30,Black,10,288-pin DIMM (DDR5),TRUE,Corsair,2 x 32GB,CMP64GX5M2B6000Z30,3,DDR5-6000,1.4,5,30,36,36,76,TRUE,DDR5
G.Skill Flare X5 64 Gb (2 X 32 Gb) Ddr5-5600 Cl36,https://pcpartpicker.com/product/W2H7YJ/gskill-flare-x5-64-gb-2-x-32-gb-ddr5-5600-cl36-memory-f5-5600j3636d32gx2-fx5,36,Black / White,12.857,288-pin DIMM (DDR5),TRUE,G.Skill,2 x 32GB,F5-5600J3636D32GX2-FX5,3,DDR5-5600,1.25,5,36,36,36,89,TRUE,DDR5
Corsair Vengeance Lpx 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/Dkx9TW/corsair-vengeance-lpx-16gb-2-x-8gb-ddr4-3200-memory-cmk16gx4m2z3200c16,16,Black,10,288-pin DIMM (DDR4),TRUE,Corsair,2 x 8GB,CMK16GX4M2Z3200C16,3,DDR4-3200,1.35,4,16,18,18,36,TRUE,DDR4
Patriot Viper Elite Ii 32 Gb (2 X 16 Gb) Ddr4-4000 Cl20,https://pcpartpicker.com/product/dYXJ7P/patriot-viper-elite-ii-32-gb-2-x-16-gb-ddr4-4000-cl20-memory-pve2432g400c0k,20,Red / Black,10,288-pin DIMM (DDR4),TRUE,Patriot,2 x 16GB,PVE2432G400C0K,3,DDR4-4000,1.4,4,20,26,26,46,TRUE,DDR4
Corsair Vengeance Rgb Pro 16 Gb (2 X 8 Gb) Ddr4-3200 Cl16,https://pcpartpicker.com/product/QDhKHx/corsair-vengeance-rgb-pro-16gb-2-x-8gb-ddr4-3200-memory-cmw16gx4m2c3200c16,16,Black,10,288-pin DIMM (DDR4),TRUE,Corsair,2 x 8GB,CMW16GX4M2C3200C16,3,DDR4-3200,1.35,4,16,18,18,36,TRUE,DDR4
